------------------------------------------------------------
Client connecting to 10.4.4.2, TCP port 5001 with pid 2506
TCP window size: 43.8 KByte (default)
------------------------------------------------------------
[  3] local 10.4.4.4 port 51898 connected with 10.4.4.2 port 5001
[ ID] Interval        Transfer    Bandwidth       Write/Err  Rtry    Cwnd/RTT
[  3] 16.80-16.90 sec   281 KBytes  23.1 Mbits/sec  2402/0          0     2306K/1050580 us
[  3] 16.90-17.00 sec  86.3 KBytes  7.07 Mbits/sec  737/0          0     2330K/1090464 us
[  3] 17.00-17.10 sec   187 KBytes  15.3 Mbits/sec  1593/1          0     2361K/1088535 us
[  3] 17.10-17.20 sec   236 KBytes  19.3 Mbits/sec  2016/1          0     2396K/1125929 us
[  3] 17.20-17.30 sec   116 KBytes  9.50 Mbits/sec  990/0          0     2433K/1144909 us
[  3] 17.30-17.40 sec   300 KBytes  24.6 Mbits/sec  2560/0          0     2495K/1172880 us
[  3] 17.40-17.50 sec   141 KBytes  11.6 Mbits/sec  1207/0          0     2514K/1182482 us
[  3] 17.50-17.60 sec   167 KBytes  13.7 Mbits/sec  1425/0          0     2553K/1205336 us
[  3] 17.60-17.70 sec   204 KBytes  16.7 Mbits/sec  1740/0          0     2589K/1244977 us
[  3] 17.70-17.80 sec  58.0 KBytes  4.75 Mbits/sec  495/0          0     2613K/1248684 us
[  3] 17.80-17.90 sec   243 KBytes  19.9 Mbits/sec  2077/0          0     2664K/1270949 us
[  3] 17.90-18.00 sec   106 KBytes  8.69 Mbits/sec  906/0          0     2676K/1260805 us
[  3] 18.00-18.10 sec   139 KBytes  11.4 Mbits/sec  1183/0          0     2676K/1256236 us
[  3] 18.10-18.20 sec   335 KBytes  27.5 Mbits/sec  2861/0          0     2676K/1227222 us
[  3] 18.20-18.30 sec   194 KBytes  15.9 Mbits/sec  1654/0          0     2676K/1275285 us
[  3] 18.30-18.40 sec   157 KBytes  12.9 Mbits/sec  1340/0          0     2676K/1271045 us
[  3] 18.40-18.50 sec   270 KBytes  22.1 Mbits/sec  2306/0          0     2676K/1274803 us
[  3] 18.50-18.60 sec   158 KBytes  12.9 Mbits/sec  1345/1          6     2477K/1261913 us
[  3] 18.60-18.70 sec   104 KBytes  8.52 Mbits/sec  888/1        130     2204K/1183179 us
[  3] 18.70-18.80 sec  0.00 Bytes  0.00 bits/sec  0/2          1     2074K/1048906 us
[  3] 18.80-18.90 sec  0.00 Bytes  0.00 bits/sec  0/2          0     1299K/790226 us
[  3] 18.90-19.00 sec  0.00 Bytes  0.00 bits/sec  0/1         30      555K/519651 us
[  3] 19.00-19.10 sec  1.68 MBytes   141 Mbits/sec  14653/0        213     1742K/77439 us
[  3] 19.10-19.20 sec  22.1 KBytes  1.81 Mbits/sec  189/2        153     1742K/95778 us
[  3] 19.20-19.30 sec  4.24 KBytes   348 Kbits/sec  37/1          0     1742K/95778 us
[  3] 19.30-19.40 sec  0.00 Bytes  0.00 bits/sec  0/2          0     1742K/377016 us
[  3] 19.40-19.50 sec  36.8 KBytes  3.01 Mbits/sec  314/0          0     1742K/424698 us
[  3] 19.50-19.60 sec  89.1 KBytes  7.30 Mbits/sec  761/0          0     1742K/542869 us
[  3] 19.60-19.70 sec   118 KBytes  9.64 Mbits/sec  1004/0          0     1742K/575760 us
[  3] 19.70-19.80 sec   167 KBytes  13.6 Mbits/sec  1422/0          0     1742K/686140 us
[  3] 19.80-19.90 sec   521 KBytes  42.7 Mbits/sec  4450/0          0     1873K/683470 us
[  3] 19.90-20.00 sec   623 KBytes  51.0 Mbits/sec  5313/0          0     1877K/659691 us
[  3] 20.00-20.10 sec  0.00 Bytes  0.00 bits/sec  0/2          0     1877K/659691 us
[  3] 20.10-20.20 sec  0.00 Bytes  0.00 bits/sec  0/1          0     1877K/659691 us
